日期,时间,基片定量,水分均值,涂布液温度,涂布液粘度,波美度,涂布槽液位,车速,传动侧,操作侧,打浆度,湿重,涂布率
30,2021.5.21,09:00:00,62.862500000000004,20.937499999999996,43.0,9.0,26.0,3.0,106.0,0.15,0.15,33.0,4.1,37.525
31,2021.5.21,10:00:00,64.0,22.537499999999998,43.0,9.0,26.0,2.5,105.0,0.15,0.15,33.0,4.25,36.162499999999994
32,2021.5.21,12:00:00,62.65,23.287499999999998,44.0,10.0,26.0,2.5,107.0,0.15,0.15,36.0,3.87,35.387499999999996
33,2021.5.21,13:30:00,63.587500000000006,21.049999999999997,44.0,10.0,26.0,2.5,106.0,0.15,0.15,36.0,3.79,34.875
34,2021.5.21,15:30:00,63.3875,23.375000000000004,44.0,10.0,26.0,3.0,106.0,0.15,0.15,39.0,3.71,36.1
35,2021.5.22,09:00:00,62.97500000000001,14.549999999999999,45.0,9.0,25.0,2.0,111.0,0.15,0.15,32.0,3.9,35.15
36,2021.5.22,10:00:00,64.53750000000001,16.6,45.0,9.0,25.0,2.0,112.0,0.15,0.15,32.0,3.82,34.612500000000004
37,2021.5.22,12:30:00,63.737500000000004,14.724999999999998,45.0,9.0,25.0,2.0,112.0,0.15,0.15,37.0,4.05,34.087500000000006
38,2021.5.23,16:50:00,61.550000000000004,18.7375,45.0,12.0,24.5,3.0,110.0,0.15,0.15,30.0,4.67,37.6875
39,2021.5.23,19:00:00,63.6,19.5875,45.0,12.0,24.5,3.0,111.0,0.15,0.15,35.0,4.12,36.025
40,2021.5.23,21:00:00,61.325,18.5625,43.0,13.0,26.0,3.0,112.0,0.15,0.15,31.0,4.39,38.4
41,2021.5.23,22:30:00,64.6875,20.175,43.0,13.0,26.0,3.0,112.0,0.15,0.15,32.5,4.22,35.15
42,2021.5.23,23:30:00,63.825,19.5,43.0,13.0,26.0,3.0,112.0,0.15,0.15,31.0,4.54,36.112500000000004
43,2021.5.24,17:00:00,62.987500000000004,19.662499999999998,47.0,12.0,26.0,2.0,110.0,0.17,0.17,26.0,4.5,33.8375
44,2021.5.24,19:00:00,64.2125,17.875,46.0,12.0,26.0,2.0,111.0,0.17,0.17,27.0,4.42,34.237500000000004
45,2021.5.24,21:30:00,63.712500000000006,20.2,46.0,12.0,26.0,3.0,111.0,0.15,0.15,28.0,4.37,35.8375
46,2021.5.24,23:00:00,64.55000000000001,21.837500000000006,46.0,12.0,26.0,3.0,111.0,0.15,0.15,29.0,4.17,35.35
47,2021.5.26,01:15:00,62.237500000000004,18.212500000000002,47.0,11.0,27.0,3.0,110.0,0.15,0.15,28.0,4.5,37.7625
48,2021.5.26,03:10:00,64.05000000000001,19.1375,47.0,11.0,27.0,3.0,110.0,0.15,0.15,29.0,4.31,35.825
49,2021.5.26,05:40:00,65.17500000000001,19.299999999999997,47.0,11.0,27.0,3.0,109.0,0.15,0.15,34.0,4.25,34.875
50,2021.5.27,01:10:00,63.712500000000006,20.8875,45.0,8.0,24.0,3.0,110.0,0.15,0.15,27.0,4.48,37.2375
